ID_event;Sport;Event
1534;Weightlifting;Weightlifting Women's Featherweight
1544;Boxing;Boxing Men's Featherweight
1549;Wrestling;Wrestling Men's Welterweight, Greco-Roman
1575;Swimming;Swimming Men's 200 metres Freestyle
1586;Athletics;Athletics Women's 3,000 metres Steeplechase
1603;Wrestling;Wrestling Men's Flyweight, Freestyle
1677;Weightlifting;Weightlifting Women's Light-Heavyweight
1686;Shooting;Shooting Men's Free Pistol, 50 metres
1696;Judo;Judo Men's Half-Heavyweight
1709;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman
1730;Canoeing;Canoeing Men's Kayak Singles, 500 metres
1731;Canoeing;Canoeing Men's Kayak Singles, 1,000 metres
1758;Athletics;Athletics Women's 1,500 metres
1768;Equestrianism;Equestrianism Mixed Dressage, Individual
1787;Judo;Judo Men's Heavyweight
1792;Tennis;Tennis Men's Doubles
1815;Taekwondo;Taekwondo Men's Heavyweight
1911;Boxing;Boxing Men's Light-Flyweight
1978;Athletics;Athletics Men's 5,000 metres
1979;Athletics;Athletics Men's 10,000 metres
2017;Table Tennis;Table Tennis Men's Team
2020;Cycling;Cycling Women's BMX
2028;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman
2034;Weightlifting;Weightlifting Men's Middle-Heavyweight
2190;Shooting;Shooting Men's Air Pistol, 10 metres
2301;Boxing;Boxing Women's Flyweight
2325;Judo;Judo Men's Lightweight
2391;Sailing;Sailing Men's One Person Dinghy
2395;Sailing;Sailing Women's One Person Dinghy
2401;Wrestling;Wrestling Men's Bantamweight, Greco-Roman
2418;Triathlon;Triathlon Women's Olympic Distance
2435;Wrestling;Wrestling Men's Middleweight, Freestyle
2470;Rowing;Rowing Men's Single Sculls
2494;Wrestling;Wrestling Women's Lightweight, Freestyle
2498;Judo;Judo Women's Heavyweight
2507;Rowing;Rowing Men's Lightweight Double Sculls
2527;Tennis;Tennis Men's Singles
2568;Athletics;Athletics Women's 5,000 metres
2730;Athletics;Athletics Women's 800 metres
2791;Wrestling;Wrestling Women's Heavyweight, Freestyle
2877;Cycling;Cycling Women's Individual Pursuit, 3,000 metres
3012;Wrestling;Wrestling Men's Heavyweight, Freestyle
3034;Shooting;Shooting Mixed Skeet
3041;Shooting;Shooting Women's Skeet
3073;Cycling;Cycling Men's Sprint
3103;Taekwondo;Taekwondo Women's Flyweight
3126;Beach Volleyball;Beach Volleyball Men's Beach Volleyball
3241;Swimming;Swimming Men's 10 kilometres Open Water
3293;Judo;Judo Men's Open Class
3329;Sailing;Sailing Mixed Two Person Dinghy
3537;Weightlifting;Weightlifting Men's Heavyweight
3715;Art Competitions;Art Competitions Mixed Painting, Unknown Event
4004;Boxing;Boxing Men's Super-Heavyweight
4047;Taekwondo;Taekwondo Men's Flyweight
4151;Wrestling;Wrestling Women's Featherweight, Freestyle
4158;Wrestling;Wrestling Women's Light-Heavyweight, Freestyle
4220;Canoeing;Canoeing Women's Kayak Singles, 200 metres
4227;Canoeing;Canoeing Men's Kayak Singles, 200 metres
4235;Taekwondo;Taekwondo Men's Welterweight
4324;Tug-Of-War;Tug-Of-War Men's Tug-Of-War
4325;Equestrianism;Equestrianism Men's Jumping, Individual
4326;Equestrianism;Equestrianism Men's Jumping, Team
4327;Equestrianism;Equestrianism Men's Three-Day Event, Individual
4328;Equestrianism;Equestrianism Men's Three-Day Event, Team
4334;Gymnastics;Gymnastics Men's Team All-Around, Free System
4338;Rowing;Rowing Men's Coxed Fours, Inriggers
4342;Athletics;Athletics Men's Cross-Country, Individual
4343;Athletics;Athletics Men's Cross-Country, Team
4345;Wrestling;Wrestling Men's Middleweight A, Greco-Roman
4351;Shooting;Shooting Men's Free Rifle, Three Positions, 300 metres
4352;Shooting;Shooting Men's Free Rifle, Three Positions, 300 metres, Team
4353;Shooting;Shooting Men's Military Rifle, Prone, 300 metres
4354;Shooting;Shooting Men's Military Rifle, Prone, 300 metres, Team
4358;Sailing;Sailing Mixed Two Person Keelboat
4366;Rowing;Rowing Men's Coxed Pairs
4368;Shooting;Shooting Men's Free Pistol, 50 metres, Team
4391;Cycling;Cycling Men's Tandem Sprint, 2,000 metres
4398;Sailing;Sailing Mixed Three Person Keelboat
4402;Art Competitions;Art Competitions Mixed Painting
4403;Rowing;Rowing Women's Coxed Quadruple Sculls
4410;Cycling;Cycling Men's Road Race, Team
4419;Shooting;Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team
4421;Shooting;Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team
4424;Gymnastics;Gymnastics Men's Team All-Around, Swedish System
4432;Shooting;Shooting Mixed Free Rifle, Three Positions, 300 metres
4433;Shooting;Shooting Mixed Small-Bore Rifle, Prone, 50 metres
4471;Cycling;Cycling Men's Individual Time Trial
4472;Cycling;Cycling Men's BMX
4528;Sailing;Sailing Mixed 8 metres
4538;Sailing;Sailing Mixed 5.5 metres
4559;Fencing;Fencing Men's Foil, Masters, Individual
4568;Rowing;Rowing Men's Coxed Fours, Outriggers
4615;Boxing;Boxing Men's Light-Middleweight
4619;Sailing;Sailing Mixed Two Person Heavyweight Dinghy
4628;Art Competitions;Art Competitions Mixed Sculpturing, Unknown Event
4636;Rowing;Rowing Men's Coxless Pairs
4643;Art Competitions;Art Competitions Mixed Music
4645;Art Competitions;Art Competitions Mixed Literature
4657;Tennis;Tennis Mixed Doubles
4658;Art Competitions;Art Competitions Mixed Music, Compositions For Orchestra
4716;Art Competitions;Art Competitions Mixed Architecture
4717;Tennis;Tennis Mixed Doubles, Covered Courts
4718;Tennis;Tennis Women's Singles, Covered Courts
4720;Equestrianism;Equestrianism Mixed Dressage, Team
4725;Canoeing;Canoeing Men's Kayak Doubles, 10,000 metres
4742;Wrestling;Wrestling Men's Middleweight B, Greco-Roman
4743;Cycling;Cycling Men's 1,000 metres Time Trial
4758;Shooting;Shooting Mixed Rapid-Fire Pistol, 25 metres
4809;Sailing;Sailing Mixed 6 metres
4810;Shooting;Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres
4817;Cycling;Cycling Men's Individual Pursuit, 4,000 metres
4819;Diving;Diving Women's Plain High
4825;Shooting;Shooting Mixed Free Pistol, 50 metres
4852;Shooting;Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team
4857;Canoeing;Canoeing Men's Kayak Singles, 10,000 metres
4868;Canoeing;Canoeing Men's Canadian Doubles, 10,000 metres
4944;Equestrianism;Equestrianism Men's Dressage, Individual
5000;Shooting;Shooting Men's Military Rifle, Any Position, 600 metres
5030;Art Competitions;Art Competitions Mixed Sculpturing
5032;Shooting;Shooting Men's Military Rifle, Three Positions, 300 metres
5033;Shooting;Shooting Men's Small-Bore Rifle, Any Position, 50 metres
5035;Shooting;Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres
5036;Shooting;Shooting Men's Military Rifle, Prone, 600 metres
5041;Art Competitions;Art Competitions Mixed Sculpturing, Statues
5095;Athletics;Athletics Men's 10 kilometres Walk
5137;Cycling;Cycling Men's 50 kilometres
5144;Canoeing;Canoeing Men's Kayak Relay 4 x 500 metres
5186;Sailing;Sailing Women's Skiff
5213;Cycling;Cycling Men's Omnium
5230;Athletics;Athletics Women's Pentathlon
5294;Modern Pentathlon;Modern Pentathlon Men's Team
5319;Art Competitions;Art Competitions Mixed Literature, Lyric Works
5324;Athletics;Athletics Men's 3,000 metres Steeplechase
5378;Art Competitions;Art Competitions Mixed Architecture, Designs For Town Planning
5379;Art Competitions;Art Competitions Mixed Architecture, Architectural Designs
5390;Athletics;Athletics Men's 3,500 metres Walk
5391;Athletics;Athletics Men's 10 mile Walk
5475;Diving;Diving Men's Plain High
5635;Weightlifting;Weightlifting Men's Unlimited, One Hand
5636;Weightlifting;Weightlifting Men's Unlimited, Two Hands
5637;Gymnastics;Gymnastics Men's Rope Climbing
5639;Shooting;Shooting Men's Military Rifle, 200 metres
5644;Shooting;Shooting Men's Free Rifle, Kneeling, 300 metres
5645;Shooting;Shooting Men's Free Rifle, Prone, 300 metres
5646;Shooting;Shooting Men's Free Rifle, Standing, 300 metres
5751;Athletics;Athletics Men's 5 mile
5956;Sailing;Sailing Men's Skiff
